building, calls file, avg_time, uncompleted_calls, certificate
Ex1_Buildings/B4.json,Ex1_Calls/Calls_i.csv,137.642,0,-68401440
Ex1_Buildings/B4.json,Ex1_Calls/Calls_g.csv,139.88326633599993,7,-79484358
Ex1_Buildings/B4.json,Ex1_Calls/Calls_d.csv,137.642,0,-68401440
Ex1_Buildings/B4.json,Ex1_Calls/Calls_a.csv,18.57,0,-462734051
Ex1_Buildings/B4.json,Ex1_Calls/Calls_dani.csv,17.0,0,-459240568
Ex1_Buildings/B4.json,Ex1_Calls/Calls_b.csv,139.88326633599993,7,-79484358
Ex1_Buildings/B4.json,Ex1_Calls/Calls_c.csv,142.218,0,-85639487
Ex1_Buildings/B3.json,Ex1_Calls/Calls_i.csv,433.0271166920017,62,-1090886028
Ex1_Buildings/B3.json,Ex1_Calls/Calls_g.csv,439.5407560000021,125,-1112305922
Ex1_Buildings/B3.json,Ex1_Calls/Calls_d.csv,433.0271166920017,62,-1090886028
Ex1_Buildings/B3.json,Ex1_Calls/Calls_a.csv,27.94,0,-497943606
Ex1_Buildings/B3.json,Ex1_Calls/Calls_dani.csv,17.9,0,-459240568
Ex1_Buildings/B3.json,Ex1_Calls/Calls_b.csv,439.5407560000021,125,-1112305922
Ex1_Buildings/B3.json,Ex1_Calls/Calls_c.csv,514.3069335499996,110,-1909213325
Ex1_Buildings/B5.json,Ex1_Calls/Calls_i.csv,36.989,0,-524830233
Ex1_Buildings/B5.json,Ex1_Calls/Calls_g.csv,36.801,0,-524830233
Ex1_Buildings/B5.json,Ex1_Calls/Calls_d.csv,36.989,0,-524830233
Ex1_Buildings/B5.json,Ex1_Calls/Calls_a.csv,15.45,0,-456579370
Ex1_Buildings/B5.json,Ex1_Calls/Calls_dani.csv,13.8,0,-445496004
Ex1_Buildings/B5.json,Ex1_Calls/Calls_b.csv,36.801,0,-524830233
Ex1_Buildings/B5.json,Ex1_Calls/Calls_c.csv,35.609,0,-521468334
Ex1_Buildings/B1.json,Ex1_Calls/Calls_i.csv,1841.6984976999543,950,-4422944342
Ex1_Buildings/B1.json,Ex1_Calls/Calls_g.csv,1784.2436402240376,963,-4812623036
Ex1_Buildings/B1.json,Ex1_Calls/Calls_d.csv,1841.6984976999543,950,-4422944342
Ex1_Buildings/B1.json,Ex1_Calls/Calls_a.csv,112.92,0,-254611173
Ex1_Buildings/B1.json,Ex1_Calls/Calls_dani.csv,83.70249568,1,-154479645
Ex1_Buildings/B1.json,Ex1_Calls/Calls_b.csv,1784.2436402240376,963,-4812623036
Ex1_Buildings/B1.json,Ex1_Calls/Calls_c.csv,1839.3603121899735,958,-4474949366
Ex1_Buildings/B2.json,Ex1_Calls/Calls_i.csv,1840.9104976999542,950,-4427977959
Ex1_Buildings/B2.json,Ex1_Calls/Calls_g.csv,1783.4786402240375,963,-4813976071
Ex1_Buildings/B2.json,Ex1_Calls/Calls_d.csv,1840.9104976999542,950,-4427977959
Ex1_Buildings/B2.json,Ex1_Calls/Calls_a.csv,45.46,0,-291735652
Ex1_Buildings/B2.json,Ex1_Calls/Calls_dani.csv,50.80249568000001,1,-308940804
Ex1_Buildings/B2.json,Ex1_Calls/Calls_b.csv,1783.4786402240375,963,-4813976071
Ex1_Buildings/B2.json,Ex1_Calls/Calls_c.csv,1838.2783121899733,958,-4470029667
Ex1_Buildings/B9.json,Ex1_Calls/Calls_i.csv,52.731,0,-311734121
Ex1_Buildings/B9.json,Ex1_Calls/Calls_g.csv,53.202,0,-315129308
Ex1_Buildings/B9.json,Ex1_Calls/Calls_d.csv,52.731,0,-311734121
Ex1_Buildings/B9.json,Ex1_Calls/Calls_a.csv,19.58,0,-466195294
Ex1_Buildings/B9.json,Ex1_Calls/Calls_dani.csv,16.7,0,-460040069
Ex1_Buildings/B9.json,Ex1_Calls/Calls_b.csv,53.202,0,-315129308
Ex1_Buildings/B9.json,Ex1_Calls/Calls_c.csv,51.478,0,-308272894
Ex1_Buildings/B7.json,Ex1_Calls/Calls_i.csv,147.995437366,1,-107039197
Ex1_Buildings/B7.json,Ex1_Calls/Calls_g.csv,157.85145657599986,12,-946884917
Ex1_Buildings/B7.json,Ex1_Calls/Calls_d.csv,147.995437366,1,-107039197
Ex1_Buildings/B7.json,Ex1_Calls/Calls_a.csv,22.91,0,-480771095
Ex1_Buildings/B7.json,Ex1_Calls/Calls_dani.csv,18.3,0,-462734051
Ex1_Buildings/B7.json,Ex1_Calls/Calls_b.csv,157.85145657599986,12,-946884917
Ex1_Buildings/B7.json,Ex1_Calls/Calls_c.csv,147.87176122,4,-107039125
